Title,NP without modification,Surface modification,SizeTEM (nm),Zeta potential,Incubation protein source,Incubation plasma concentration (v/v%),Incubation NP concentration (mg/L),Centrifugation speed (g),Centrifugation time （min）,Certrifugation temperature (℃),NP type,NP shape,Dispersion medium,Dispersion medium pH,SizeDLS (nm),PDI,Incubation culture,Incubation time (h),Incubation temperature (℃),Centrifugation repetitions,Modification type,Individual proteins,P02647,P02768,P04264,P13645,P35908,P35527,P02788,P02533
Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,PS,COOH,40,-43.5,HP,25,40,250,3,25,other,sphere,PBS,7.4,73.7,0.06,buffer,1,25,1,Anionic,,0.06,0.89,6.23,5.96,3.8,1.44,0,0.17
Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,PS,COOH,40,-43.5,HP,55,40,250,3,25,other,sphere,PBS,7.4,73.7,0.06,buffer,1,25,1,Anionic,,0.1471183,1.0960737,7.5407207,6.6342644,3.5632194,1.2351914,0,0.7128987
Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,PS,COOH,40,-43.5,HP,75,40,250,3,25,other,sphere,PBS,7.4,73.7,0.06,buffer,1,25,1,Anionic,,0.24,1.2,7.86,6.16,3.68,1.21,0,0.29
Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,PS,COOH,100,-53.2,HP,10,5,250,3,25,other,sphere,PBS,7.4,116.3,0.05,buffer,1,25,1,Anionic,,0.25,1.13,1.22,0.08,0.17,0,0,0
Characterization of the bionano interface and mapping extrinsic interactions of the corona of nanomaterials,PS,OSO3,100,-61.2,HP,10,1,250,3,25,other,sphere,PBS,7.4,130,0.09,buffer,1,25,1,Anionic,,0.31,6.04,6.02,8.26,3.91,1.77,0,0
Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,none,13,-35,HP,10,100,10000,20,25,other,sheet,water,7.5,12,0.126944444,water,1,25,5,Neutral,,4.32,7.29,0,0,0,0,0,0
Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,none,13,-35,HP,10,100,10000,20,25,other,sheet,water,7.5,12,0.126944444,water,1,25,5,Neutral,,1.85,2.73,0,0,0,0,0,0
Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,none,13,-35,HP,10,100,10000,20,25,other,sheet,water,7.5,12,0.126944444,water,1,25,5,Neutral,,0,2.01,0,0,0,0,0,0
Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,none,13,-35,HP,10,100,10000,20,25,other,sphere,water,7.5,13,0.126944444,water,1,25,5,Neutral,,4.93,4.21,0,0,0,0,0,0
Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,none,13,-35,HP,10,100,10000,20,25,other,sphere,water,7.5,13,0.126944444,water,1,25,5,Neutral,,5.96,3.21,0,0,0,0,0,0
Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,none,13,-35,HP,10,100,10000,20,25,other,sphere,water,7.5,13,0.126944444,water,1,25,5,Neutral,,5.12,4.16,0,0,0,0,0,0
Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,none,13,-35,HP,10,100,10000,20,25,other,sphere,water,7.5,13,0.126944444,water,1,25,5,Neutral,,1.05,3.73,0,0,0,0,0,0
Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,none,13,-35,HP,100,100,10000,20,25,other,sheet,water,7.5,12,0.126944444,water,1,25,5,Neutral,,0,7.93,0,0,0,0,0,0
Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,none,13,-35,HP,100,100,10000,20,25,other,sheet,water,7.5,12,0.126944444,water,1,25,5,Neutral,,0,0,0,0,0,0,0,0
Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,none,13,-35,HP,100,100,10000,20,25,other,sheet,water,7.5,12,0.126944444,water,1,25,5,Neutral,,22.04,0,0,0,0,0,0,0
Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,none,13,-35,HP,100,100,10000,20,25,other,sheet,water,7.5,12,0.126944444,water,1,25,5,Neutral,,17.39,0,0,0,0,0,0,0
Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,none,13,-35,HP,100,100,10000,20,25,other,sphere,water,7.5,13,0.126944444,water,1,25,5,Neutral,,0,4.807,0,0,0,0,0,0
Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,none,13,-35,HP,100,100,10000,20,25,other,sphere,water,7.5,13,0.126944444,water,1,25,5,Neutral,,0,4.572,0,0,0,0,0,0
Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,none,13,-35,HP,100,100,10000,20,25,other,sphere,water,7.5,13,0.126944444,water,1,25,5,Neutral,,0,3.165,0,0,0,0,0,0
Corona protein composition and cytotoxicity evaluation of ultra-small zeolites synthesized from template free precursor suspensions,zeolite,none,13,-35,HP,100,100,10000,20,25,other,sphere,water,7.5,13,0.126944444,water,1,25,5,Neutral,,0,4.068,0,0,0,0,0,0
"Differential analysis of ""protein corona"" profile adsorbed onto different nonviral gene delivery systems",LPD,none,200,45,HP,50,500,15000,10,25,liposome,sphere,water,7,200,0.126944444,water,1,37,1,Neutral,,3.166115129,2.888266721,1.451983591,0.887881867,0.488476989,0.715965637,0.049856331,0
"Differential analysis of ""protein corona"" profile adsorbed onto different nonviral gene delivery systems",LPD,none,200,45,HP,50,500,15000,10,25,liposome,sphere,water,7,200,0.126944444,water,1,37,1,Neutral,,2.930841923,3.725129189,1.77857049,1.134078729,0.847260065,0,0,0
"Differential analysis of ""protein corona"" profile adsorbed onto different nonviral gene delivery systems",LPD,none,200,45,HP,50,500,15000,10,25,liposome,sphere,water,7,200,0.126944444,water,1,37,1,Neutral,,3.422096009,9.573889802,0.426116985,0.341683964,0,0.233181468,0,0
"Differential analysis of ""protein corona"" profile adsorbed onto different nonviral gene delivery systems",DOTAP/DNA,none,200,50,HP,50,500,15000,10,25,liposome,sphere,water,7,200,0.126944444,water,1,37,1,Neutral,,0.99927598,2.303631456,0.364476913,0.369381101,0,0.150819079,0.042759364,0
"Differential analysis of ""protein corona"" profile adsorbed onto different nonviral gene delivery systems",DOTAP/DNA,none,200,50,HP,50,500,15000,10,25,liposome,sphere,water,7,200,0.126944444,water,1,37,1,Neutral,,1.392012597,4.024107844,0.428333651,0.343068387,0.095425159,0,0.040896497,0
"Differential analysis of ""protein corona"" profile adsorbed onto different nonviral gene delivery systems",DOTAP/DNA,none,200,50,HP,50,500,15000,10,25,liposome,sphere,water,7,200,0.126944444,water,1,37,1,Neutral,,1.392012597,4.024107844,0.428333651,0.343068387,0.095425159,0,0.040896497,0
"Differential analysis of ""protein corona"" profile adsorbed onto different nonviral gene delivery systems",DOTAP,none,100,47.5,HP,50,500,15000,10,25,liposome,sphere,water,7,100,0.126944444,water,1,37,1,Neutral,,0.681863023,2.485744469,0.309198817,0.163910974,0,0.100528391,0,0
"Differential analysis of ""protein corona"" profile adsorbed onto different nonviral gene delivery systems",DOTAP,none,100,47.5,HP,50,500,15000,10,25,liposome,sphere,water,7,100,0.126944444,water,1,37,1,Neutral,,0.700091006,2.557271201,0.220051305,0.272583595,0,0.1049615,0,0
"Differential analysis of ""protein corona"" profile adsorbed onto different nonviral gene delivery systems",DOTAP,none,100,47.5,HP,50,500,15000,10,25,liposome,sphere,water,7,100,0.126944444,water,1,37,1,Neutral,,0.568900259,2.101225228,0.286638357,0.31373481,0.072323256,0.121998649,0,0
Do plasma proteins distinguish between liposomes of varying charge density?,DC-Chol-DOPE,none,102,54.3,HP,50,500,15000,10,25,liposome,sphere,buffer,7,102,0.243,buffer,1,37,1,Neutral,,1.93823,4.3312,0.87872,0.8758,0.53876,0.48931,0,0
Do plasma proteins distinguish between liposomes of varying charge density?,DC-Chol-DOPE,none,102,54.3,HP,50,500,15000,10,25,liposome,sphere,buffer,7,102,0.243,buffer,1,37,1,Neutral,,1.74737,4.02728,1.79462,1.82843,1.08065,1.27573,0,0.21244
Do plasma proteins distinguish between liposomes of varying charge density?,DC-Chol-DOPE,none,102,54.3,HP,50,500,15000,10,25,liposome,sphere,buffer,7,102,0.243,buffer,1,37,1,Neutral,,1.87533,3.64954,1.75575,1.72995,1.26129,1.24819,0,0.33388
Do plasma proteins distinguish between liposomes of varying charge density?,DC-Chol-DOPE,none,109,56.3,HP,50,500,15000,10,25,liposome,sphere,buffer,7,109,0.212,buffer,1,37,1,Neutral,,1.993648298,4.393645026,1.121158506,0.862008775,0.325486694,0.89061003,0,0
Do plasma proteins distinguish between liposomes of varying charge density?,DC-Chol-DOPE,none,109,56.3,HP,50,500,15000,10,25,liposome,sphere,buffer,7,109,0.212,buffer,1,37,1,Neutral,,1.642853898,3.93471227,1.3379937,1.368572547,0.787771358,0.988688516,0,0.142778274
Do plasma proteins distinguish between liposomes of varying charge density?,DC-Chol-DOPE,none,109,56.3,HP,50,500,15000,10,25,liposome,sphere,buffer,7,109,0.212,buffer,1,37,1,Neutral,,1.678835941,3.949342823,1.365568248,1.193253773,0.759866249,1.013179814,0,0.189094172
Do plasma proteins distinguish between liposomes of varying charge density?,DC-Chol-DOPE,none,105,60.5,HP,50,500,15000,10,25,liposome,sphere,buffer,7,105,0.239,buffer,1,37,1,Neutral,,1.56975,7.49256,0.21281,0.24889,0.08505,0.19815,0,0
Do plasma proteins distinguish between liposomes of varying charge density?,DC-Chol-DOPE,none,105,60.5,HP,50,500,15000,10,25,liposome,sphere,buffer,7,105,0.239,buffer,1,37,1,Neutral,,1.17744,2.81275,0.59264,0.76878,0.38105,0.40638,0,0
Do plasma proteins distinguish between liposomes of varying charge density?,DC-Chol-DOPE,none,105,60.5,HP,50,500,15000,10,25,liposome,sphere,buffer,7,105,0.239,buffer,1,37,1,Neutral,,1.1712,2.70389,0.61987,0.57639,0.35948,0.43804,0,0
Effect of DOPE and cholesterol on the protein adsorption onto lipid nanoparticles,DOTAP-Chol,none,83.5,50.5,HP,50,500,15000,10,25,liposome,sphere,buffer,7.4,83.5,0.293,buffer,1,37,1,Neutral,,3.012294983,4.153882021,1.546919969,1.126904659,1.156968436,0.963934395,0,0.507610324
Effect of DOPE and cholesterol on the protein adsorption onto lipid nanoparticles,DOTAP-DOPE,none,90.8,51.2,HP,50,500,15000,10,25,liposome,sphere,buffer,7.4,90.8,0.225,buffer,1,37,1,Neutral,,2.006242501,8.559986641,0.407737222,0.297317989,0.193204714,0.344019147,0,0.034500842
Effect of DOPE and cholesterol on the protein adsorption onto lipid nanoparticles,DOTAP,none,78.8,55.7,HP,50,500,15000,10,25,liposome,sphere,buffer,7.4,78.8,0.205,buffer,1,37,1,Neutral,,1.062588284,4.476103742,0,0,0,0.159858414,0,0
Effect of polyethyleneglycol (PEG) chain length on the bio-nano- interactions between PEGylated lipid nanoparticles and biological fluids: From nanostructure to uptake in cancer cells,DOTAP-DOPC-DC-Chol-DOPE/DOPE-PEG ,PEG,103.2,11.3,HP,50,500,14000,15,25,liposome,sphere,water,7,103.2,0.126944444,buffer,1,37,1,Neutral,,1.358442056,1.843308751,1.592410716,1.357291418,1.115029622,1.233014365,0,0.501490537
Effect of polyethyleneglycol (PEG) chain length on the bio-nano- interactions between PEGylated lipid nanoparticles and biological fluids: From nanostructure to uptake in cancer cells,DOTAP-DOPC-DC-Chol-DOPE/DOPE-PEG ,PEG,118.7,15.5,HP,50,500,14000,15,25,liposome,sphere,water,7,118.7,0.126944444,buffer,1,37,1,Neutral,,2.468729427,1.281672089,1.713564214,1.311541566,1.295133438,1.275510204,0,0.784929356
Effect of polyethyleneglycol (PEG) chain length on the bio-nano- interactions between PEGylated lipid nanoparticles and biological fluids: From nanostructure to uptake in cancer cells,DOTAP-DOPC-DC-Chol-DOPE/DOPE-PEG ,PEG,116.9,18.3,HP,50,500,14000,15,25,liposome,sphere,water,7,116.9,0.126944444,buffer,1,37,1,Neutral,,1.659332119,2.461540915,1.47301931,1.220508188,1.077310066,1.174541955,0,0.456310335
Effect of polyethyleneglycol (PEG) chain length on the bio-nano- interactions between PEGylated lipid nanoparticles and biological fluids: From nanostructure to uptake in cancer cells,DOTAP-DOPC-DC-Chol-DOPE,none,86,27.4,HP,50,500,14000,15,25,liposome,sphere,water,7,86,0.126944444,buffer,1,37,1,Neutral,,1.011020119,1.307732546,0.124890721,1.061571125,0.914584354,1.18142593,0,0.285807611
The effect of protein corona composition on the interaction of carbon nanotubes with human blood platelets,MWCNT,COOH,80,-57,HP,91,91,10000,20,25,carbon,tube,PBS,7.4,80,0.126944444,buffer,1,25,1,Anionic,,1.724524489,4.589119236,0,0,0,0,0,0
Effects of the presence or absence of a protein corona on silica nanoparticle uptake and impact on cells,Si,none,50,-20,FBS,100,100,20000,30,4,other,sphere,PBS,7.4,66,0.2,DMEM,1,37,1,Neutral,,21.66507962,2.62066364,0,0,0,0,0,0
Effects of the presence or absence of a protein corona on silica nanoparticle uptake and impact on cells,Si,none,50,-13.5,FBS,100,100,20000,30,4,other,sphere,cell culture,7.4,44,0.19,DMEM,1,37,1,Neutral,,21.66507962,2.62066364,0,0,0,0,0,0
An Evaluation of Blood Compatibility of Silver Nanoparticles,Ag,PVP,21.6,-21.2,HP,100,1000,19000,20,4,metal,sphere,plasma,7.4,53.3,0.126944444,buffer,3,25,1,Neutral,,1.446397442,0.570047711,0,0,0,0,0.503201894,0
An Evaluation of Blood Compatibility of Silver Nanoparticles,Ag,PVP,21.6,-21.2,HP,100,1000,19000,20,4,metal,sphere,plasma,7.4,53.3,0.126944444,buffer,3,25,1,Neutral,,1.155976098,0.479061697,0.3866429,0,0,0,0.396547866,0
An Evaluation of Blood Compatibility of Silver Nanoparticles,Ag,CIT,24.3,-26.1,HP,100,1000,19000,20,4,metal,sphere,plasma,7.4,58.1,0.126944444,buffer,3,25,1,Anionic,,1.12589428,0.448754739,0.37231063,0,0,0.358224823,0.393510597,0
An Evaluation of Blood Compatibility of Silver Nanoparticles,Ag,CIT,24.3,-26.1,HP,100,1000,19000,20,4,metal,sphere,plasma,7.4,58.1,0.126944444,buffer,3,25,1,Anionic,,1.17679255,0.468231133,0.390766344,0,0,0,0.401439099,0
An Evaluation of Blood Compatibility of Silver Nanoparticles,Ag,PVP,21.6,-6.6,HP,100,1000,19000,20,4,metal,sphere,cell culture,7.4,93.5,0.126944444,buffer,3,25,1,Neutral,,1.446397442,0.570047711,0,0,0,0,0.503201894,0
An Evaluation of Blood Compatibility of Silver Nanoparticles,Ag,PVP,21.6,-6.6,HP,100,1000,19000,20,4,metal,sphere,cell culture,7.4,93.5,0.126944444,buffer,3,25,1,Neutral,,1.155976098,0.479061697,0.3866429,0,0,0,0.396547866,0
An Evaluation of Blood Compatibility of Silver Nanoparticles,Ag,CIT,24.3,-9.9,HP,100,1000,19000,20,4,metal,sphere,cell culture,7.4,115.3,0.126944444,buffer,3,25,1,Anionic,,1.12589428,0.448754739,0.37231063,0,0,0.358224823,0.393510597,0
An Evaluation of Blood Compatibility of Silver Nanoparticles,Ag,CIT,24.3,-9.9,HP,100,1000,19000,20,4,metal,sphere,cell culture,7.4,115.3,0.126944444,buffer,3,25,1,Anionic,,1.17679255,0.468231133,0.390766344,0,0,0,0.401439099,0
Identification of Receptor Binding to the Biomolecular Corona of Nanoparticles,SiO2,none,95,-13.5,FBS,10,1000,16000,20,25,other,sphere,PBS,7.4,118,0.02,buffer,1,37,1,Neutral,,0,4.56,0,0,0,0,0,0
Identification of Receptor Binding to the Biomolecular Corona of Nanoparticles,SiO2,none,95,-13.5,FBS,30,1000,16000,20,25,other,sphere,PBS,7.4,118,0.02,buffer,1,37,1,Neutral,,0,7.07,0,0,0,0,0,0
Identification of Receptor Binding to the Biomolecular Corona of Nanoparticles,SiO2,none,95,-13.5,FBS,50,1000,16000,20,25,other,sphere,PBS,7.4,118,0.02,buffer,1,37,1,Neutral,,0,6.76,0,0,0,0,0,0
In situ characterization of nanoparticle biomolecular interactions in complex biological media by flow cytometry,PS,none,204,-13.5,FBS,80,1000,20000,20,25,other,sphere,PBS,7.4,240,0.02,buffer,1,37,3,Neutral,,0,9.24,0,0,0,0,0,0
In situ characterization of nanoparticle biomolecular interactions in complex biological media by flow cytometry,SiO2,none,79,-13.5,FBS,80,1000,20000,20,25,other,sphere,PBS,7.4,112,0.02,buffer,1,37,3,Neutral,,11.14,5.89,0,0,0,0,0,0
"In Vivo Biomolecule Corona around Blood-Circulating, Clinically Used and Antibody-Targeted Lipid Bilayer Nanoscale Vesicles",HSPC-Chol,none,127.27,-27.87,RP,82,90,9000,20,25,liposome,sphere,plasma,7.4,104.76,0.17,water,0.166666667,37,1,Neutral,,1.2,1.87,0,0,0,0,0,0
"In Vivo Biomolecule Corona around Blood-Circulating, Clinically Used and Antibody-Targeted Lipid Bilayer Nanoscale Vesicles",HSPC-Chol,none,127.27,-27.87,RP,100,5,9000,20,25,liposome,sphere,plasma,7.4,104.76,0.17,water,0.166666667,37,8,Neutral,,2.83,1.87,0,0,0,0,0,0
"In Vivo Biomolecule Corona around Blood-Circulating, Clinically Used and Antibody-Targeted Lipid Bilayer Nanoscale Vesicles",HSPC-Chol-DSPE-PEG20000,PEG,121.82,-30.37,RP,82,90,9000,20,25,liposome,sphere,plasma,7.4,100.98,0.15,water,0.166666667,37,1,Neutral,,0,1.75,0,0,0,0,0,0
"In Vivo Biomolecule Corona around Blood-Circulating, Clinically Used and Antibody-Targeted Lipid Bilayer Nanoscale Vesicles",HSPC-Chol-DSPE-PEG20000,PEG,121.82,-30.37,RP,100,5,9000,20,25,liposome,sphere,plasma,7.4,100.98,0.15,water,0.166666667,37,9,Neutral,,1.04,0.84,0,0,0,0,0,0
"In Vivo Biomolecule Corona around Blood-Circulating, Clinically Used and Antibody-Targeted Lipid Bilayer Nanoscale Vesicles",HSPC-Chol,none,110.91,-32.1,RP,82,90,9000,20,25,liposome,sphere,plasma,7.4,103.86,0.2,water,0.166666667,37,1,Neutral,,1.4,1.77,0,0,0,0,0,0
"In Vivo Biomolecule Corona around Blood-Circulating, Clinically Used and Antibody-Targeted Lipid Bilayer Nanoscale Vesicles",HSPC-Chol,none,110.91,-32.1,RP,100,5,9000,20,25,liposome,sphere,plasma,7.4,103.86,0.2,water,0.166666667,37,10,Neutral,,1.71,1.2,0,0,0,0,0,0
"In Vivo Biomolecule Corona around Blood-Circulating, Clinically Used and Antibody-Targeted Lipid Bilayer Nanoscale Vesicles",HSPC-Chol,none,110.91,-36.23,RP,82,90,9000,20,25,liposome,sphere,plasma,7.4,120.83,0.2,water,0.166666667,37,1,Neutral,,1.4,1.77,0,0,0,0,0,0
"In Vivo Biomolecule Corona around Blood-Circulating, Clinically Used and Antibody-Targeted Lipid Bilayer Nanoscale Vesicles",HSPC-Chol,none,110.91,-36.23,RP,100,5,9000,20,25,liposome,sphere,plasma,7.4,120.83,0.2,water,0.166666667,37,7,Neutral,,1.71,1.2,0,0,0,0,0,0
"In Vivo Biomolecule Corona around Blood-Circulating, Clinically Used and Antibody-Targeted Lipid Bilayer Nanoscale Vesicles",HSPC-Chol,none,127.27,-36.54,RP,82,90,9000,20,25,liposome,sphere,plasma,7.4,119.2,0.17,water,0.166666667,37,1,Neutral,,1.2,1.87,0,0,0,0,0,0
"In Vivo Biomolecule Corona around Blood-Circulating, Clinically Used and Antibody-Targeted Lipid Bilayer Nanoscale Vesicles",HSPC-Chol,none,127.27,-36.54,RP,100,5,9000,20,25,liposome,sphere,plasma,7.4,119.2,0.17,water,0.166666667,37,5,Neutral,,2.83,1.87,0,0,0,0,0,0
"In Vivo Biomolecule Corona around Blood-Circulating, Clinically Used and Antibody-Targeted Lipid Bilayer Nanoscale Vesicles",HSPC-Chol-DSPE-PEG20000,PEG,121.82,-37.51,RP,82,90,9000,20,25,liposome,sphere,plasma,7.4,113.97,0.18,water,0.166666667,37,1,Neutral,,0,1.75,0,0,0,0,0,0
"In Vivo Biomolecule Corona around Blood-Circulating, Clinically Used and Antibody-Targeted Lipid Bilayer Nanoscale Vesicles",HSPC-Chol-DSPE-PEG20000,PEG,121.82,-37.51,RP,100,5,9000,20,25,liposome,sphere,plasma,7.4,113.97,0.18,water,0.166666667,37,6,Neutral,,1.04,0.84,0,0,0,0,0,0
In vivo protein corona patterns of lipid nanoparticles,HSPC-DSPG-Chol,none,185,-20.5,RP,95.23,500,1800,10,4,liposome,sphere,plasma,7.4,266,0.373,water,0.166666667,37,1,Neutral,,1,4.8,0,0,0,0,0,0
In vivo protein corona patterns of lipid nanoparticles,HSPC-DSPG-Chol,none,185,-20.5,RP,100,500,1800,10,4,liposome,sphere,plasma,7.4,266,0.373,water,0.166666667,37,1,Neutral,,1.12,4.07,0,0,0,0,0,0
In vivo protein corona patterns of lipid nanoparticles,HSPC-DSPG-Chol,none,185,-26.1,RP,95.23,500,1800,10,4,liposome,sphere,plasma,7.4,334,0.312,water,0.166666667,37,1,Neutral,,1,4.8,0,0,0,0,0,0
In vivo protein corona patterns of lipid nanoparticles,HSPC-DSPG-Chol,none,185,-26.1,RP,100,500,1800,10,4,liposome,sphere,plasma,7.4,334,0.312,water,0.166666667,37,1,Neutral,,1.12,4.07,0,0,0,0,0,0
Influence of dynamic flow environment on nanoparticle-protein corona: From protein patterns to uptake in cancer cells,DOTAP:DOPC:DC-Chol:DOPE,none,139,-24,FBS,50,500,14000,10,25,liposome,sphere,plasma,7.4,205,0.126944444,buffer,0.083333333,25,1,Neutral,,1.55,6.16,0,0,0,0,0,0
Influence of dynamic flow environment on nanoparticle-protein corona: From protein patterns to uptake in cancer cells,DOTAP:DOPC:DC-Chol:DOPE,none,139,-24,FBS,50,500,14000,10,25,liposome,sphere,plasma,7.4,230,0.126944444,buffer,0.083333333,25,1,Neutral,,3.69,16.53,0,0,0,0,0,0
Influence of dynamic flow environment on nanoparticle-protein corona: From protein patterns to uptake in cancer cells,DOTAP:DOPC:DC-Chol:DOPE-PEG,PEG,131,-25,FBS,50,500,14000,10,25,liposome,sphere,plasma,7.4,150,0.126944444,buffer,0.083333333,25,1,Neutral,,2.73,28.3,0,0,0,0,0,0
Influence of dynamic flow environment on nanoparticle-protein corona: From protein patterns to uptake in cancer cells,DOTAP:DOPC:DC-Chol:DOPE-PEG,PEG,131,-25,FBS,50,500,14000,10,25,liposome,sphere,plasma,7.4,163,0.126944444,buffer,0.083333333,25,1,Neutral,,2.1,8.46,0,0,0,0,0,0
Influence of dynamic flow environment on nanoparticle-protein corona: From protein patterns to uptake in cancer cells,DOTAP:DOPC:DC-Chol:DOPE,none,139,-26,FBS,50,500,14000,10,25,liposome,sphere,plasma,7.4,205,0.126944444,buffer,1.5,25,1,Neutral,,1.55,6.16,0,0,0,0,0,0
Influence of dynamic flow environment on nanoparticle-protein corona: From protein patterns to uptake in cancer cells,DOTAP:DOPC:DC-Chol:DOPE,none,139,-26,FBS,50,500,14000,10,25,liposome,sphere,plasma,7.4,230,0.126944444,buffer,1.5,25,1,Neutral,,2.87,6.67,0,0,0,0,0,0
Influence of dynamic flow environment on nanoparticle-protein corona: From protein patterns to uptake in cancer cells,DOTAP:DOPC:DC-Chol:DOPE-PEG,PEG,131,-28,FBS,50,500,14000,10,25,liposome,sphere,plasma,7.4,150,0.126944444,buffer,1.5,25,1,Neutral,,3.69,16.53,0,0,0,0,0,0
Influence of dynamic flow environment on nanoparticle-protein corona: From protein patterns to uptake in cancer cells,DOTAP:DOPC:DC-Chol:DOPE-PEG,PEG,131,-28,FBS,50,500,14000,10,25,liposome,sphere,plasma,7.4,163,0.126944444,buffer,1.5,25,1,Neutral,,1.55,6.16,0,0,0,0,0,0
Interaction of gold and silver nanoparticles with human plasma: Analysis of protein corona reveals specific binding patterns,Ag,PVP,19.09,-21.2,HP,66,0.01141,19000,20,4,metal,sphere,plasma,7.4,75.36,0.126944444,buffer,1,37,1,Neutral,,0.209,1.03,0.133,0.045,0.002,0.007,0.38,0
